tags:uneCharogne explicationLineaire

A quelle section des <em>Fleurs du mal</em> appartient "Une Chargone" ? ; <strong>"Spleen et Idéal"</strong>

Que révèle le titre de la section "Spleen et idéal" ? ; Une <strong>double aspiration</strong> de l’homme.

Quelles sont les dates de parutions des <em>Fleurs du mal</em> ? ; <ul><li>en 1857 = 1ère version</li><li>en 1861 = version augmentée</li></ul>

Pour quelle raison 6 poèmes des <em>Fleurs du mal</em> ont-ils été condamnés ? ; pour <em>"outrage à la morale publique et aux bonnes mœurs"</em>

Pourquoi peut-on dire que le poète d’après Baudelaire est un alchimiste ? ; Le poète cherche à <strong>transformer la boue réaliste en or poétique</strong>.

Le poème de Baudelaire, "Une Charogne" commence comme un <strong>poème lyrique amoureux</strong>, mais évoque ensuite ; un <strong>cadavre pourrissant</strong>.

Le poème "Une Charogne" de Baudelaire reprend le motif du <em>memento mori</em> qui signifie ; Souviens-toi que tu vas mourir.

Comment Baudelaire <strong>renouvèle-t-il le thème</strong> du <em>Memento mori</em> ? ; Il lui donne une signification complexe car la <strong>poésie est une alchimie</strong> qui transforme<ul><li>le cadavre en fleur</li><li>le dégoût initial en louange.</li></ul>

Quels sont les <strong>3 mouvements </strong> dont est composé le poème "Une Charogne" ? ; <ul><li><strong>Une macabre découverte</strong> : strophes 1 à 4</li><li><strong>Métamorphoses de l’ordure</strong> : strophes 5 à 9</li><li><strong>Les pouvoirs de la poésie</strong> : strophe 10 à 12</li></ul>

Quel <strong>projet de lecture</strong> peut-on suivre pour étudier "Une Charogne" de Baudelaire ? ; <strong>Comment le poète transforme-t-il l’immonde en objet poétique ?</strong>

<blockquote>Tout cela descendait, montait comme une vague,<br />Ou s’élançait en pétillant <br />On eût dit que le corps, enflé d’un souffle vague,<br />Vivait en se multipliant.</blockquote>Quelle signification peut-on donner à la comparaison "comme une vague" et à la métaphore " souffle vague " dans cette strophe d’ "Une Charogne" ? ; Elle donne <strong>une image marine</strong> au cadavre.

<blockquote>Tout cela descendait, montait comme une vague,<br />Ou s’élançait en pétillant <br />On eût dit que le corps, enflé d’un souffle vague,<br />Vivait en se multipliant.</blockquoteQuels sont les éléments qui donnent une <strong>impression de vie, d’expansion du cadavre</strong> dans ce quatrain d’ "Une Charogne"? ; <ul><li>Les <strong>verbes de mouvement</strong> : " descendait ", " montait ", " s’élançait "</li><li>La <strong>Gradation</strong> dans la multitude : " tout cela ", " enflé ", " multipliant "</li><li>Comparaison avec <strong>connotation d’accouchement</strong> " on eût dit que le corps, enflé […] vivait "</li></ul>

<blockquote>Tout cela descendait, montait comme une vague,<br />Ou s’élançait en pétillant <br />On eût dit que le corps, enflé d’un souffle vague,<br />Vivait en se multipliant.</blockquoteQuels sont les <strong>verbes de mouvement</strong> dans ce quatrain d’"Une Charogne"? ; " descendait ", " montait ", " s’élançait "

<blockquote>Tout cela descendait, montait comme une vague,<br />Ou s’élançait en pétillant <br />On eût dit que le corps, enflé d’un souffle vague,<br />Vivait en se multipliant.</blockquoteQuelle gradation trouve-t-on dans cette strophe d’ "Une Charogne"? ; La <strong>gradation</strong> dans la multitude : " tout cela ", " enflé ", " multipliant "

<blockquote>Tout cela descendait, montait comme une vague,<br />Ou s’élançait en pétillant <br />On eût dit que le corps, enflé d’un souffle vague,<br />Vivait en se multipliant.</blockquoteQuelle connotation est associée "on eût dit que le corps, enflé […] vivait" dans ce quatrain d’ "Une Charogne"? ; Une <strong>connotation d’accouchement</strong>

<blockquote>Et ce monde rendait une étrange musique,<br />Comme l’eau courante et le vent,<br />Ou le grain qu’un vanneur d’un mouvement rythmique<br />Agite et tourne dans son van.</blockquote>Quelles sont les <strong>Métaphores musicales</strong> dans ce quatrain d’ "Une Charogne" ? ; "étrange musique", "mouvement rythmique"

<blockquote>Et ce monde rendait une étrange musique,<br />Comme l’eau courante et le vent,<br />Ou le grain qu’un vanneur d’un mouvement rythmique<br />Agite et tourne dans son van.</blockquote>Pourquoi peut-on dire que ce quatrain d’ "Une Charogne" relève de l’alchimie poétique ? ; La strophe est très lyrique, elle souligne le fait que <strong>de la laideur surgit la beauté</strong>

<blockquote>Et ce monde rendait une étrange musique,<br />Comme l’eau courante et le vent,<br />Ou le grain qu’un vanneur d’un mouvement rythmique<br />Agite et tourne dans son van.</blockquote>Quelle impression se dégage de ce champ lexical " agite ", " tourne ", " mouvement " ? ; Une <strong>impression de mouvement</strong>

<blockquote>Et ce monde rendait une étrange musique,<br />Comme l’eau courante et le vent,<br />Ou le grain qu’un vanneur d’un mouvement rythmique<br />Agite et tourne dans son van.</blockquote>Quelle assonance est présente dans cette strophe d’ "Une Charogne" ? ; Une assonance en <strong>[an]</strong>

<blockquote>Et ce monde rendait une étrange musique,<br />Comme l’eau courante et le vent,<br />Ou le grain qu’un vanneur d’un mouvement rythmique<br />Agite et tourne dans son van.</blockquote>Comment interpréter cette <strong>comparaison avec des éléments naturels</strong> dans ce quatrain d’ "Une Charogne" de Baudelaire ? " comme l’eau courante et le vent " ? ; Elle est associée à <strong>l’idée d’écoulement</strong>

<blockquote>Les formes s’effaçaient et n’étaient plus qu’un rêve,<br />Une ébauche lente à venir,<br />Sur la toile oubliée, et que l’artiste achève<br />Seulement par le souvenir.</blockquote>Quels mots révèlent une <strong>métaphore artistique</strong> dans ce quatrain d’"Une Charogne" ? ; " formes ", " ébauche ", " toile ", " artiste "

<blockquote>Les formes s’effaçaient et n’étaient plus qu’un rêve,<br />Une ébauche lente à venir,<br />Sur la toile oubliée, et que l’artiste achève<br />Seulement par le souvenir.</blockquote>D’après cette strophe d’ "Une Charogne" de Baudelaire, à quoi sert l’art ? ; L’<strong>art sert à lutter contre l’oubli</strong>

<blockquote>Les formes s’effaçaient et n’étaient plus qu’un rêve,<br />Une ébauche lente à venir,<br />Sur la toile oubliée, et que l’artiste achève<br />Seulement par le souvenir.</blockquote>Dans cette strophe d’ "Une Charogne" de Baudelaire, a quel champ lexical appartiennent ces mots ? : " s’effaçaient ", " oubliées ", " souvenir " ; Au <strong>champ lexical de l’oubli</strong> 

<blockquote>Les formes s’effaçaient et n’étaient plus qu’un rêve,<br />Une ébauche lente à venir,<br />Sur la toile oubliée, et que l’artiste achève<br />Seulement par le souvenir.</blockquote>Dans cette strophe d’ "Une Charogne" de Baudelaire quelle est la <strong>fonction de l’artiste</strong> ? ; Il<ul><li>unit ce qui se décompose,</li><li>rassemble les souvenirs éparpillés,</li><li>les fixe pour l’éternité sur sa toile ou dans un poème.</li></ul>

<blockquote>Les formes s’effaçaient et n’étaient plus qu’un rêve,<br />Une ébauche lente à venir,<br />Sur la toile oubliée, et que l’artiste achève<br />Seulement par le souvenir.</blockquote>Dans cette strophe d’ "Une Charogne" de Baudelaire que marque la présence du <strong>cadre spatial : "derrière les rochers "</strong> ? ; Le retour au récit dur

<blockquote>Derrière les rochers une chienne inquiète<br />Nous regardait d’un œil fâché,<br />Épiant le moment de reprendre au squelette<br />Le morceau qu’elle avait lâché.</blockquote>Dans cet extrait d’ "Une Charogne" de Baudelaire "derrière les rochers " quelle <strong>allitération</strong> est présente ? ; Une allitération en [r]

Dans "Une Charogne" de Baudelaire, que marque le passage de "Charogne" (§ 1) → " carcasse superbe " (§ 4) → " le corps " (§6) → le " squelette " ? ; Une <strong>Gradation</strong> vers la décomposition de la charogne.

